Complete,000075,p=1,v=3,"2:A|* BB^ B,A,2+++   1++-   ","1^-2-3-1","{{-1,1,1},{1,1,1},{1,1,1}}",1,9,13,
Complete,000076,p=1,v=3,"3:2A|* BB^ BB,A,1-++ 1+++   1-+-   ","1^~2-3-1","{{-1,-1,1},{-1,1,1},{1,1,1}}",1,9,1,
Complete,000077,p=1,v=3,"2:A|* BB^ B,A,2-++   1---   ","1^~2-3~1","{{-1,-1,-1},{-1,1,1},{-1,1,1}}",1,9,13,
Complete,000078,p=1,v=3,"2:A|* BB^ B,A,2+-+   1++-   ","1^-2~3-1","{{-1,1,1},{1,1,-1},{1,-1,1}}",1,9,1,
Complete,000079,p=1,v=3,"3:2A|* BB^ BB,A,1--+ 1+-+   1-+-   ","1^~2~3-1","{{-1,-1,1},{-1,1,-1},{1,-1,1}}",1,9,13,
Complete,000080,p=1,v=3,"2:A|* BB^ B,A,2--+   1---   ","1^~2~3~1","{{-1,-1,-1},{-1,1,-1},{-1,-1,1}}",1,9,1,
Complete,000081,p=1,v=3,"3:ACC BB* B^* B,C,A,1+++   1+++   1+-+   ","1^-2=3","{{0,1,0},{1,0,2},{0,2,1}}",1,11,13,
Complete,000082,p=1,v=3,"3:ACC BB* B^* B,C,A,1-++   1+++   1--+   ","1^~2=3","{{0,-1,0},{-1,0,2},{0,2,1}}",1,11,13,
Complete,000083,p=1,v=3,"3:AA* BB| |^* B,A,A,1-++   1-++   1+-+   ","1^-2-~3","{{0,1,0},{1,0,0},{0,0,1}}",1,3,1,
Complete,000084,p=1,v=3,"3:AA* BB| |^* B,A,A,1-++   1-+-   1--+   ","1^~2-~3","{{0,-1,0},{-1,0,0},{0,0,1}}",1,3,1,
Complete,000085,p=1,v=3,"3:ACC BB* B^* B,C,A,1+--   1--+   1+-+   ","1^-2~~3","{{0,1,0},{1,0,-2},{0,-2,1}}",1,11,13,
Complete,000086,p=1,v=3,"3:ACC BB* B^* B,C,A,1---   1--+   1--+   ","1^~2~~3","{{0,-1,0},{-1,0,-2},{0,-2,1}}",1,11,13,
Complete,000087,p=1,v=3,"3:AC* B^^ B** B,A,C,1+++   1+--   1+++   ","1^^-2-3","{{-2,1,0},{1,1,1},{0,1,2}}",1,13,7,
