Mixed Prime,000081,p=1,v=5,"1^^-2-3-4^-5^",-1,15,-7,71,-31,357,-141,1839,
Mixed Prime,000082,p=1,v=5,"1^-2^-4-5-3^-1",-1,15,-7,79,-41,453,-281,2687,
Mixed Prime,000083,p=1,v=5,"1^-2^-3^-4^-5",-1,15,-7,79,-51,465,-393,2847,
Mixed Prime,000084,p=1,v=5,"1^-2^-3=4-5^",-1,15,-7,83,-51,507,-407,3203,
Mixed Prime,000085,p=1,v=5,"1^^-2^-3-4-5^",-1,15,-7,87,-71,573,-645,3887,
Mixed Prime,000086,p=1,v=5,"1^-2-3^ 2-4=5^",-1,15,-13,83,-121,543,-1037,3811,
Mixed Prime,000087,p=1,v=5,"1-2^-3-4^-5^-3",-1,17,-1,73,9,341,125,1665,
Mixed Prime,000088,p=1,v=5,"1^^-2-3-4^-5-3",-1,17,-1,81,9,437,125,2481,
Mixed Prime,000089,p=1,v=5,"1^-2^-3^-4=5",-1,17,-1,101,19,665,251,4517,
Mixed Prime,000090,p=1,v=5,"1^^-2^-3-4-5-3",-1,17,-1,121,9,917,125,7041,
Mixed Prime,000091,p=1,v=5,"1^-2^-3-4=5-3",-1,17,5,97,99,629,1035,4385,
Mixed Prime,000092,p=1,v=5,"1^^-2-3-4-5-3 2-5",-1,17,5,109,79,797,825,5989,
Mixed Prime,000093,p=1,v=5,"1-2^-3-4^^ 3-5^",-1,17,-7,89,-61,533,-505,3377,
Mixed Prime,000094,p=1,v=5,"1^^-2-3-5^-4-2",-1,17,-7,93,-41,557,-267,3461,
Mixed Prime,000095,p=1,v=5,"1^-2^-3-4^^ 3-5",-1,17,-7,97,-41,605,-281,3905,
Mixed Prime,000096,p=1,v=5,"1^^-2-3^-5-4-2",-1,17,-7,101,-41,653,-295,4357,
Mixed Prime,000097,p=1,v=5,"1^^-2^-3-4^ 3-5",-1,17,-7,105,-61,725,-561,5169,
Mixed Prime,000098,p=1,v=5,"1-2-3^-5^-4^-2",-1,17,-7,109,-81,797,-827,5989,
Mixed Prime,000099,p=1,v=5,"1^-2-3^-5=4-2",-1,17,-7,113,-81,845,-841,6465,
Mixed Prime,000100,p=1,v=5,"1^-2-3^-4=5^",-1,17,-13,93,-141,617,-1289,4517,
Mixed Prime,000101,p=1,v=5,"1^-2^-3-4=5^",-1,17,-13,93,-101,569,-785,3685,
Mixed Prime,000102,p=1,v=5,"1^^-2-3^-4-2 4-5",-1,19,-1,103,9,637,139,4143,
Mixed Prime,000103,p=1,v=5,"1^^-2-3^ 2-4=5",-1,19,-1,115,19,787,279,5603,
