Complete Prime,000071,p=1,v=4,B|*A|CBD*C**1111++-+++++++++,"1-2-3=4^",2,18,8,122,52,882,436,6562,
Complete Prime,000072,p=1,v=4,B**ACCB**112+--++++++,"1^^-2-3 2-4",2,18,14,114,102,762,814,5282,
Complete Prime,000073,p=1,v=4,BD*C|AB|*A**1111++-+++++++++,"1-2^-3=4",2,18,20,106,152,666,1136,4354,
Complete Prime,000074,p=1,v=4,B**AC*BD*C**1111+--++-++-++-,"1^^-2^-3^-4^",-4,12,-28,76,-204,564,-1572,4420,
Complete Prime,000075,p=1,v=4,C**C**AAB211+--++-+++,"1^^-2-3^^ 2-4^",-4,14,-28,82,-204,566,-1516,4194,
Complete Prime,000076,p=1,v=4,C**D**AD*BC*1111+--+--++-+++,"1^^-2^-3-4^^",-4,16,-28,92,-204,592,-1460,4036,
Complete Prime,000077,p=1,v=4,B**AC*BD*C**1111++-+++++++++,"1^-2-3-4",4,12,28,76,204,564,1572,4420,
Complete Prime,000078,p=1,v=4,B**ACCB**112++-++++++,"1^-2-3 2-4",4,14,28,82,204,566,1516,4194,
Complete Prime,000079,p=1,v=4,BC*AD*A**B**1111++-+++++++++,"1-2^-3-4",4,16,28,92,204,592,1460,4036,
Complete Prime,000080,p=1,v=5,BD*A**C|DACC1121++-++-+-++++,"1^-2^-3-4-~5-3",-1,9,-7,33,-41,141,-225,641,
Complete Prime,000081,p=1,v=5,CC*B|CABC122++-+-++++,"1^-2-3-1 2-4-~5-3",-1,11,-1,39,9,149,83,591,
Complete Prime,000082,p=1,v=5,BC*A**AA*221++-++-+++,"1^-2^-3-4^-5^",-1,11,-7,39,-31,149,-141,591,
Complete Prime,000083,p=1,v=5,BC*AE*A**E**BD*11111++-++-++-++-+++,"1^-2^-3^-4-5^",-1,11,-7,47,-51,233,-337,1215,
Complete Prime,000084,p=1,v=5,CC*B|CABC122++-+-+++-,"1^-2~3-1 2-4-~5-3",-1,11,-13,55,-111,341,-813,2255,
Complete Prime,000085,p=1,v=5,AC*AC*D**AADBC*11111----+-++-+-++++,"1^-2-3~4^~5^-3",-1,13,-1,49,9,205,97,897,
Complete Prime,000086,p=1,v=5,CD*DE*A**ABEBD*11111++-++-++-++++++,"1^-2^-3-4^-5-3",-1,13,-1,57,9,277,97,1393,
Complete Prime,000087,p=1,v=5,DD*C**BDDACD1112++-++-++++++,"1^-2-3-4^-5-3 2-5",-1,13,5,61,59,337,461,1957,
Complete Prime,000088,p=1,v=5,CD*CD*C**AABAA*11111+--++-++-++++-+,"1^-2-3^~5-4^-2",-1,13,-7,45,-41,169,-211,677,
Complete Prime,000089,p=1,v=5,BD*AE*D**ACEBD*11111++-++-++-++-+-+,"1^-2-3^-5^-4~2",-1,13,-7,53,-41,241,-239,1157,
Complete Prime,000090,p=1,v=5,D**B|CBBDAC*1211+--+-+++++++,"1^^-2-3-4-~5-3",-1,13,-7,57,-41,277,-253,1409,
Complete Prime,000091,p=1,v=5,CC*D**ACDACDBCC11111++-++-+--+-+++-,"1^-2~3-4^-5~3 2-5",-1,13,-7,61,-41,313,-267,1669,
Complete Prime,000092,p=1,v=5,CD*C**AABAA*2111++-++-++++++,"1^-2-3^-5-4^-2",-1,13,-7,61,-61,337,-463,1957,
Complete Prime,000093,p=1,v=5,D**C|DB|EABECD*11111+--+-++-+++++++,"1^^-2-3-5-~4-2",-1,13,-7,65,-61,373,-477,2225,
Complete Prime,000094,p=1,v=5,BD*AE*D**ACEBD*11111++-++-++-++++++,"1^-2-3^-5^-4-2",-1,13,-7,69,-61,409,-491,2501,
Complete Prime,000095,p=1,v=5,DE*CD*B**ABEAD*11111++-++-++-++-+-+,"1^-2^-3-4^-5~3",-1,13,-13,57,-91,301,-603,1745,
Complete Prime,000096,p=1,v=5,AC*AC*D**AADBC*11111+--++-++-+-++++,"1^-2-3~4^-5^-3",-1,13,-13,81,-131,565,-1163,4129,
Complete Prime,000097,p=1,v=5,CC*D**ACDACDBCC11111+--++--++++-++-,"1^-2-3~4^-5-3 2~5",-1,13,-19,77,-181,577,-1555,4613,
Complete Prime,000098,p=1,v=5,CE*CD*ABDBCEAD*11111++-++-+++++-+-+,"1^-2~5-3-4^-5 1-3",-1,15,-1,55,-1,225,-1,975,
Complete Prime,000099,p=1,v=5,CE*CD*ABDBCEAD*11111++-++-+++++++++,"1^-2-5-3-4^-5 1-3",-1,15,-1,71,19,369,223,1999,
Complete Prime,000100,p=1,v=5,AB*AB*ABCABCBB*11111+--++--++++++++,"1^-2^-5-3-4-5 1~3",-1,15,-1,79,19,453,223,2687,
Complete Prime,000101,p=1,v=5,C**D**ADEBCECD*11111+--++-+++++++++,"1^^-2-3-4-2 4-5^",-1,15,-1,87,9,549,111,3535,
Complete Prime,000102,p=1,v=5,AB*AB*ABCABCBB*11111+--++---++--+-+,"1^-2^~5~3~4-5 1-3",-1,15,-1,95,-1,645,-1,4415,
